,target-0.5_stop-0.5,target-0.5_stop-1.0,target-0.5_stop-1.5,target-0.5_stop-2.0,target-0.5_stop-2.5,target-1.0_stop-0.5,target-1.0_stop-1.0,target-1.0_stop-1.5,target-1.0_stop-2.0,target-1.0_stop-2.5,target-1.5_stop-0.5,target-1.5_stop-1.0,target-1.5_stop-1.5,target-1.5_stop-2.0,target-1.5_stop-2.5,target-2.0_stop-0.5,target-2.0_stop-1.0,target-2.0_stop-1.5,target-2.0_stop-2.0,target-2.0_stop-2.5,target-2.5_stop-0.5,target-2.5_stop-1.0,target-2.5_stop-1.5,target-2.5_stop-2.0,target-2.5_stop-2.5
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin_noFee.positiveProportionCI_95.upperLimit,0.09273139126141433,0.03336451018466602,0.01919917381311312,0.01593451536903085,0.014858849843343097,0.05418390744583197,0.017825389471579724,0.012825974711665399,0.00995460397301901,0.010010556951089253,0.05448533643452255,0.01759624042730222,0.012760223180123506,0.010379916743228312,0.009026456790983047,0.054382159555558675,0.01782626628113606,0.012252187953805022,0.009980336019775944,0.008787128000496969,0.054482458239403855,0.017381275902914974,0.011527233367090543,0.009266747878148004,0.008051285376915563
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin_noFee.negativeProportionCI_95.lowerLimit,0.9072686087385857,0.966635489815334,0.9808008261868868,0.9840654846309691,0.9851411501566568,0.9458160925541681,0.9821746105284204,0.9871740252883348,0.990045396026981,0.9899894430489107,0.9455146635654776,0.9824037595726975,0.9872397768198766,0.9896200832567719,0.9909735432090168,0.9456178404444411,0.9821737337188641,0.9877478120461949,0.9900196639802241,0.991212871999503,0.9455175417605961,0.9826187240970852,0.9884727666329094,0.9907332521218519,0.9919487146230845
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin_noFee.negativeProportionCI_95.upperLimit,0.927493637938454,0.9800886698422593,0.9916913177588995,0.9945636128270349,0.9958292643229167,0.9598359431464241,0.9906092365895671,0.9946744942370755,0.9968930942266712,0.997199475582951,0.9589998261590706,0.9903088799838362,0.9942040237044419,0.9960969623766449,0.9971825496465623,0.9587749234206386,0.9898672535753529,0.9942683093952684,0.9960387412997733,0.9970103633785588,0.9585242155556366,0.990067498802682,0.9946084596419162,0.9963232187124399,0.9972641607928618
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin_noFee.meanCI_95.lowerLimit,-0.0008072537597081644,-0.001727773996500008,-0.0026352979866031494,-0.0035026359845014648,-0.00436777095930444,-0.0010476689836211098,-0.001987126949324296,-0.0028967713860680658,-0.0037696093417627493,-0.0046365259698176765,-0.0010841264284329512,-0.0020264549603851247,-0.0029457307644837694,-0.0038341348653910118,-0.004698598948001035,-0.0010884856970914936,-0.002030767243204939,-0.0029624333766553965,-0.0038708923432922305,-0.0047595796983911885,-0.0010872309478827354,-0.0020317685555237366,-0.002968412135263611,-0.003894823093916966,-0.004815637325865618
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin_noFee.meanCI_95.upperLimit,-0.0007593873355241788,-0.0016525544982560333,-0.0025229749060142587,-0.0033477029999918633,-0.004163310975860845,-0.000999951121058221,-0.0019187900146096233,-0.0028006868610063584,-0.0036404899889306078,-0.004468170421490223,-0.0010348826600706147,-0.001959233291808322,-0.002854221821751864,-0.003713685980300703,-0.004544080268189603,-0.0010394155920369131,-0.0019652273889386226,-0.0028743457684330025,-0.003756004637165423,-0.004613388517001686,-0.001038899597166018,-0.001967961408622138,-0.0028836082623515972,-0.0037841928401471975,-0.00467517498092847
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.stdDev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.firstQuartile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.median,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.thirdQuartile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.summary.range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.positiveCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.negativeCount,2932,2306,1854,1548,1320,3632,3048,2592,2229,1962,3966,3480,3073,2736,2458,4170,3754,3392,3089,2810,4280,3915,3606,3328,3068
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.positiveProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.negativeProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.positiveProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.positiveProportionCI_95.upperLimit,0.001255035400390625,0.001598358154296875,0.001987457275390625,0.002376556396484375,0.002788543701171875,0.001018524169921875,0.001209259033203125,0.001422882080078125,0.001651763916015625,0.001880645751953125,0.000926971435546875,0.001056671142578125,0.001201629638671875,0.001346588134765625,0.001499176025390625,0.000881195068359375,0.000980377197265625,0.001087188720703125,0.001194000244140625,0.001308441162109375,0.000858306884765625,0.000942230224609375,0.001026153564453125,0.001110076904296875,0.001201629638671875
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.negativeProportionCI_95.lowerLimit,0.9987449645996094,0.9984016418457031,0.9980125427246094,0.9976234436035156,0.9972114562988281,0.9989814758300781,0.9987907409667969,0.9985771179199219,0.9983482360839844,0.9981193542480469,0.9990730285644531,0.9989433288574219,0.9987983703613281,0.9986534118652344,0.9985008239746094,0.9991188049316406,0.9990196228027344,0.9989128112792969,0.9988059997558594,0.9986915588378906,0.9991416931152344,0.9990577697753906,0.9989738464355469,0.9988899230957031,0.9987983703613281
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.negativeProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.meanCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.priceTargetsReached.meanCI_95.upperLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.mean,6.1469986357435165,12.906764960971378,19.78155339805825,24.885658914728673,32.072727272727256,9.876101321585903,19.40748031496065,28.983410493827183,36.88694481830417,46.749745158002035,13.575895108421578,25.579022988505734,37.585746827204645,48.71271929824557,61.431651749389694,16.50887290167869,30.272509323388384,44.25766509433966,58.53609582389119,75.47153024911024,18.874766355140203,34.369093231162225,50.893510815307756,69.41195913461546,91.16264667535859
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.stdDev,8.740733624127582,17.724096059136453,28.22619422704766,31.79622376813512,41.60601718253798,13.862867008091444,24.10299466125672,35.33311886257734,42.662360218299774,53.55734926993983,23.260510813869935,34.780113574874385,46.550039075459104,59.63240287402135,73.92070523466806,29.16687651197455,41.92822532130002,54.547966280998615,70.74579626765976,91.994466807813,35.174977013371006,49.56627843777376,67.29500563282183,94.6630177332628,120.87178687292956
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.min,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.firstQuartile,1,3,4,6,8,2,5,7,10,14,2,5,8,12,16,2,6,9,13,18,2,6,10,15,20
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.median,3,7,12,15,21,5,11,18,23,31,5,13,22,30,39,6,15,25,35,46,6,16,27,39,51
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.thirdQuartile,7,15,25,33,44,12,25,37,48,61,15,31,48,63,74,17,37,58,74,92.25,19,41,64,85,111.75
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.max,111,183,309,317,434,154,280,312,335,437,289,410,449,610,674,289,410,449,610,899,538,614,902,1497,1498
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.summary.range,110,182,308,316,433,153,279,311,334,436,288,409,448,609,673,288,409,448,609,898,537,613,901,1496,1497
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.positiveCount,2932,2306,1854,1548,1320,3632,3048,2592,2229,1962,3966,3480,3073,2736,2458,4170,3754,3392,3089,2810,4280,3915,3606,3328,3068
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.positiveProportionCI_95.lowerLimit,0.9987449645996094,0.9984016418457031,0.9980125427246094,0.9976234436035156,0.9972114562988281,0.9989814758300781,0.9987907409667969,0.9985771179199219,0.9983482360839844,0.9981193542480469,0.9990730285644531,0.9989433288574219,0.9987983703613281,0.9986534118652344,0.9985008239746094,0.9991188049316406,0.9990196228027344,0.9989128112792969,0.9988059997558594,0.9986915588378906,0.9991416931152344,0.9990577697753906,0.9989738464355469,0.9988899230957031,0.9987983703613281
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.negativeProportionCI_95.upperLimit,0.001255035400390625,0.001598358154296875,0.001987457275390625,0.002376556396484375,0.002788543701171875,0.001018524169921875,0.001209259033203125,0.001422882080078125,0.001651763916015625,0.001880645751953125,0.000926971435546875,0.001056671142578125,0.001201629638671875,0.001346588134765625,0.001499176025390625,0.000881195068359375,0.000980377197265625,0.001087188720703125,0.001194000244140625,0.001308441162109375,0.000858306884765625,0.000942230224609375,0.001026153564453125,0.001110076904296875,0.001201629638671875
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.meanCI_95.lowerLimit,5.830609200270731,12.183344954824895,18.496700134186533,23.30169188363405,29.8281981235965,9.425247029640762,18.551784132249118,27.623154816647475,35.11583326743048,44.37986904229908,12.851961124660784,24.42344983082719,35.93987943502143,46.47821942517016,58.50930844491732,15.623598377079439,28.931241772752692,42.42194393873971,56.04122676896742,72.07007612441447,17.8209425393406,32.81643274635713,48.69703693084298,66.19574647076077,86.88550795313017
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.candlesToExit.meanCI_95.upperLimit,6.463388071216302,13.630184967117861,21.066406661929967,26.469625945823296,34.31725642185801,10.326955613531045,20.263176497672184,30.34366617100689,38.658056369177864,49.11962127370499,14.299829092182373,26.734596146184277,39.23161421938786,50.947219171320974,64.35399505386206,17.39414742627794,31.613776874024076,46.093386249939606,61.030964878814956,78.87298437380602,19.928590170939806,35.92175371596732,53.089984699772536,72.62817179847015,95.439785397587
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.mean,368.81991814461105,774.4058976582827,1186.8932038834946,1493.1395348837202,1924.3636363636358,592.5660792951542,1164.4488188976381,1739.0046296296327,2213.216689098253,2804.9847094801225,814.5537065052957,1534.7413793103456,2255.1448096322774,2922.7631578947353,3685.8991049633823,990.5323741007201,1816.3505594033038,2655.459905660374,3512.165749433475,4528.291814946616,1132.4859813084113,2062.145593869732,3053.6106489184726,4164.717548076923,5469.758800521511
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.stdDev,524.4440174476549,1063.4457635481867,1693.5716536228597,1907.7734260881075,2496.3610309522787,831.7720204854866,1446.1796796754043,2119.9871317546385,2559.741613097986,3213.44095619639,1395.6306488321961,2086.806814492464,2793.0023445275456,3577.9441724412795,4435.242314080081,1750.012590718473,2515.6935192780006,3272.8779768599193,4244.747776059584,5519.66800846878,2110.4986208022606,2973.976706266427,4037.7003379693065,5679.78106399577,7252.307212375774
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.min,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.firstQuartile,60,180,240,360,480,120,300,420,600,840,120,300,480,720,960,120,360,540,780,1080,120,360,600,900,1200
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.median,180,420,720,900,1260,300,660,1080,1380,1860,300,780,1320,1800,2340,360,900,1500,2100,2760,360,960,1620,2340,3060
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.thirdQuartile,420,900,1500,1980,2640,720,1500,2220,2880,3660,900,1860,2880,3780,4440,1020,2220,3480,4440,5535,1140,2460,3840,5100,6705
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.max,6660,10980,18540,19020,26040,9240,16800,18720,20100,26220,17340,24600,26940,36600,40440,17340,24600,26940,36600,53940,32280,36840,54120,89820,89880
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.summary.range,6600,10920,18480,18960,25980,9180,16740,18660,20040,26160,17280,24540,26880,36540,40380,17280,24540,26880,36540,53880,32220,36780,54060,89760,89820
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.positiveCount,2932,2306,1854,1548,1320,3632,3048,2592,2229,1962,3966,3480,3073,2736,2458,4170,3754,3392,3089,2810,4280,3915,3606,3328,3068
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.positiveProportionCI_95.lowerLimit,0.9987449645996094,0.9984016418457031,0.9980125427246094,0.9976234436035156,0.9972114562988281,0.9989814758300781,0.9987907409667969,0.9985771179199219,0.9983482360839844,0.9981193542480469,0.9990730285644531,0.9989433288574219,0.9987983703613281,0.9986534118652344,0.9985008239746094,0.9991188049316406,0.9990196228027344,0.9989128112792969,0.9988059997558594,0.9986915588378906,0.9991416931152344,0.9990577697753906,0.9989738464355469,0.9988899230957031,0.9987983703613281
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.negativeProportionCI_95.upperLimit,0.001255035400390625,0.001598358154296875,0.001987457275390625,0.002376556396484375,0.002788543701171875,0.001018524169921875,0.001209259033203125,0.001422882080078125,0.001651763916015625,0.001880645751953125,0.000926971435546875,0.001056671142578125,0.001201629638671875,0.001346588134765625,0.001499176025390625,0.000881195068359375,0.000980377197265625,0.001087188720703125,0.001194000244140625,0.001308441162109375,0.000858306884765625,0.000942230224609375,0.001026153564453125,0.001110076904296875,0.001201629638671875
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.meanCI_95.lowerLimit,349.8365520162439,731.0006972894937,1109.8020080511917,1398.1015130180429,1789.6918874157905,565.5148217784456,1113.107047934946,1657.3892889988501,2106.949996045832,2662.7921425379454,771.117667479648,1465.406989849633,2156.392766101285,2788.693165510211,3510.5585066950403,937.4159026247651,1735.8745063651622,2545.3166363243768,3362.473606138049,4324.20456746487,1069.256552360435,1968.985964781426,2921.822215850586,3971.7447882456418,5213.130477187806
backtestResult.results.groupedByPriceTargetReached.false.exitInfo.timeToExitSec.meanCI_95.upperLimit,387.8032842729782,817.8110980270717,1263.9843997157975,1588.1775567493976,2059.035385311481,619.6173368118627,1215.7905898603303,1820.6199702604154,2319.483382150674,2947.1772764222997,857.9897455309434,1604.0757687710582,2353.89685316327,3056.8331502792594,3861.2397032317244,1043.648845576675,1896.8266124414454,2765.603174996371,3661.857892728901,4732.379062428362,1195.7154102563875,2155.3052229580376,3185.3990819863593,4357.690307908204,5726.3871238552165
backtestResult.results.groupedByPriceTargetReached.skipped.sampleSize,228,228,228,228,228,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.individualResults,deleted,deleted,deleted,deleted,deleted,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.sortedValues,deleted,deleted,deleted,deleted,deleted,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.mean,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.stdDev,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.min,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.firstQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.median,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.thirdQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.max,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.summary.range,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.positiveCount,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.negativeCount,228,228,228,228,228,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.positiveProportion,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.negativeProportion,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.positiveProportionCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.positiveProportionCI_95.upperLimit,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.negativeProportionCI_95.lowerLimit,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.negativeProportionCI_95.upperLimit,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.meanCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin.meanCI_95.upperLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.sortedValues,deleted,deleted,deleted,deleted,deleted,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.mean,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.stdDev,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.min,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.firstQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.median,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.thirdQuartile,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.max,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.summary.range,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.positiveCount,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.negativeCount,228,228,228,228,228,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.positiveProportion,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.negativeProportion,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.positiveProportionCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.positiveProportionCI_95.upperLimit,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,0.016048431396484375,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.negativeProportionCI_95.lowerLimit,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,0.9839515686035156,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.negativeProportionCI_95.upperLimit,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.meanCI_95.lowerLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByPriceTargetReached.skipped.profitInfo.profitMargin_noFee.meanCI_95.upperLimit,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
backtestResult.results.groupedByExitStrategyExecuted.ProfitExitStrategy_TargetLimit.sampleSize,1640,2266,2718,3024,3252,1168,1752,2208,2571,2838,834,1320,1727,2064,2342,630,1046,1408,1711,1990,520,885,1194,1472,1732
backtestResult.results.groupedByExitStrategyExecuted.ProfitExitStrategy_TargetLimit.individualResults,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByExitStrategyExecuted.ProfitExitStrategy_TargetLimit.profitInfo.profitMargin.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByExitStrategyExecuted.ProfitExitStrategy_TargetLimit.profitInfo.profitMargin.summary.mean,0.0006192029955708087,0.000609858115493179,0.0006111164474724494,0.0006243071419676267,0.0006285222780487837,0.0018804466304277576,0.0018901305238083537,0.0019146325220671023,0.001960038653673194,0.001973613393272566,0.0033625445002784587,0.0033829105037631504,0.0034072238886522417,0.0034852496204734445,0.003507049815980065,0.004944913167402936,0.0049710345985461025,0.0049735804492366635,0.005060009570211322,0.005082933878863297,0.006470176402124109,0.006538403677378286,0.006541612614603159,0.006615185301690678,0.006619797398867044
